[1.452s] Invoking command in '/home/mariobo/ernest_ws/src/ernest_simulations/build/description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/mariobo/ernest_ws/src/ernest_simulations/install/mpc_controller:/home/mariobo/ernest_ws/install/mpc_controller:/opt/ros/foxy /usr/local/bin/cmake --build /home/mariobo/ernest_ws/src/ernest_simulations/build/description -- -j8 -l8
[2.441s] Invoked command in '/home/mariobo/ernest_ws/src/ernest_simulations/build/description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/mariobo/ernest_ws/src/ernest_simulations/install/mpc_controller:/home/mariobo/ernest_ws/install/mpc_controller:/opt/ros/foxy /usr/local/bin/cmake --build /home/mariobo/ernest_ws/src/ernest_simulations/build/description -- -j8 -l8
[2.508s] Invoking command in '/home/mariobo/ernest_ws/src/ernest_simulations/build/description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/mariobo/ernest_ws/src/ernest_simulations/install/mpc_controller:/home/mariobo/ernest_ws/install/mpc_controller:/opt/ros/foxy /usr/local/bin/cmake --install /home/mariobo/ernest_ws/src/ernest_simulations/build/description
[2.536s] -- Install configuration: ""
[2.562s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/pivot.dae
[2.564s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/rear_left_steer.STL
[2.565s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/rear_left_steer.dae
[2.566s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/rear_left_wheel.STL
[2.567s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/rear_left_wheel.dae
[2.570s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/rear_right_steer.STL
[2.571s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/rear_right_steer.dae
[2.571s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/rear_right_wheel.STL
[2.572s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/rear_right_wheel.dae
[2.572s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/worlds/empty.world
[2.573s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/ament_index/resource_index/package_run_dependencies/description
[2.573s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/ament_index/resource_index/parent_prefix_path/description
[2.574s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/environment/ament_prefix_path.sh
[2.574s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/environment/ament_prefix_path.dsv
[2.574s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/environment/path.sh
[2.575s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/environment/path.dsv
[2.575s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/local_setup.bash
[2.576s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/local_setup.sh
[2.577s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/local_setup.zsh
[2.578s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/local_setup.dsv
[2.579s] -- Symlinking: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/package.dsv
[2.579s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/ament_index/resource_index/packages/description
[2.581s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/cmake/descriptionConfig.cmake
[2.581s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/cmake/descriptionConfig-version.cmake
[2.581s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/package.xml
[3.296s] Invoked command in '/home/mariobo/ernest_ws/src/ernest_simulations/build/description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/mariobo/ernest_ws/src/ernest_simulations/install/mpc_controller:/home/mariobo/ernest_ws/install/mpc_controller:/opt/ros/foxy /usr/local/bin/cmake --install /home/mariobo/ernest_ws/src/ernest_simulations/build/description
